1	-0.123	-0.306	inf	0.880	0.000	0.008	0.000	0.522	0.000	0.099	0.000	0.009	0.000	3.354	0.000	0.520	0.001
2	-0.142	-0.169	0.656	0.881	0.000	0.045	0.000	0.346	0.000	0.595	0.000	0.300	0.000	3.562	0.000	0.536	0.000
3	-0.160	-0.137	0.587	0.881	0.000	0.061	0.000	0.177	0.000	0.667	0.000	0.423	0.000	3.817	0.000	0.844	0.000
4	-0.176	-0.121	0.618	0.882	0.000	0.078	0.000	0.028	0.000	0.619	0.000	0.455	0.000	3.994	0.000	1.088	0.001
5	-0.191	-0.111	0.672	0.884	0.000	0.099	0.000	6.175	0.000	0.529	0.000	0.437	0.000	4.069	0.001	1.208	0.001
6	-0.206	-0.100	0.727	0.885	0.000	0.124	0.000	6.076	0.000	0.439	0.000	0.397	0.000	4.048	0.001	1.225	0.002
7	-0.220	-0.093	0.789	0.887	0.000	0.150	0.000	6.021	0.001	0.374	0.001	0.351	0.001	3.932	0.002	1.178	0.003
8	-0.233	-0.092	0.842	0.890	0.000	0.177	0.000	6.012	0.001	0.347	0.001	0.297	0.001	3.732	0.003	1.092	0.004
9	-0.246	-0.092	0.866	0.893	0.000	0.204	0.000	6.035	0.001	0.357	0.001	0.245	0.001	3.487	0.003	0.971	0.005
10	-0.259	-0.090	0.873	0.896	0.000	0.230	0.000	6.076	0.001	0.391	0.001	0.199	0.001	3.228	0.004	0.776	0.006
11	-0.271	-0.088	0.916	0.900	0.000	0.255	0.000	6.115	0.001	0.435	0.001	0.173	0.001	3.005	0.003	0.478	0.006
12	-0.283	-0.198	inf	0.904	0.000	0.280	0.000	6.151	0.001	0.477	0.001	0.171	0.001	2.830	0.002	0.105	0.005
13	-0.295	-0.166	inf	0.909	0.000	0.303	0.000	6.182	0.001	0.508	0.001	0.189	0.001	2.701	0.002	6.047	0.004
14	-0.307	-0.163	inf	0.914	0.000	0.324	0.000	6.218	0.000	0.529	0.000	0.221	0.000	2.601	0.001	5.798	0.002
15	-0.319	-0.165	inf	0.919	0.000	0.344	0.000	6.253	0.000	0.541	0.000	0.251	0.000	2.536	0.001	5.598	0.001
16	-0.330	-0.160	inf	0.925	0.000	0.363	0.000	6.280	0.000	0.550	0.000	0.280	0.000	2.476	0.001	5.447	0.002
19	-0.493	-0.326	inf	0.890	0.000	0.206	0.000	0.223	0.000	0.089	0.000	0.152	0.000	3.823	0.002	1.028	0.001
20	-0.504	-0.319	inf	0.891	0.000	0.218	0.000	0.237	0.000	0.087	0.000	0.144	0.000	3.486	0.001	0.914	0.001
21	-0.515	-0.315	inf	0.892	0.000	0.228	0.000	0.238	0.000	0.094	0.000	0.133	0.000	3.210	0.001	0.771	0.001
22	-0.525	-0.316	inf	0.893	0.000	0.234	0.000	0.239	0.000	0.100	0.000	0.123	0.000	3.045	0.000	0.611	0.000
23	-0.536	-0.309	inf	0.893	0.000	0.237	0.000	0.236	0.000	0.103	0.000	0.113	0.000	2.935	0.000	0.440	0.000
24	-0.018	-0.199	0.389	0.607	0.000	0.032	0.000	0.530	0.000	0.689	0.000	0.164	0.000	4.199	0.000	1.877	0.000
25	-0.036	-0.149	0.359	0.608	0.000	0.046	0.000	0.017	0.000	0.776	0.000	0.354	0.000	4.420	0.000	2.086	0.000
26	-0.054	-0.124	0.397	0.609	0.000	0.061	0.000	6.234	0.000	0.724	0.000	0.444	0.000	4.616	0.000	2.211	0.001
27	-0.070	-0.124	0.443	0.609	0.000	0.079	0.000	6.143	0.000	0.620	0.000	0.458	0.000	4.689	0.001	2.236	0.001
28	-0.086	-0.111	0.481	0.611	0.000	0.102	0.000	6.004	0.000	0.503	0.000	0.436	0.000	4.667	0.001	2.187	0.001
29	-0.100	-0.097	0.555	0.612	0.000	0.127	0.000	5.903	0.001	0.403	0.001	0.401	0.001	4.628	0.002	2.130	0.002
30	-0.114	-0.093	0.605	0.614	0.000	0.153	0.000	5.876	0.001	0.319	0.001	0.372	0.001	4.405	0.002	1.977	0.002
